,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18
10,VED,0.8451153519328611,DIABLOA,1.8033406721393233,EPS8L1,1.2261983635843845,GBX1,1.3187296730811957,SI:DKEY-11O15.10,0.7555388341274942,CR388042.3,0.7092486594707931,SI:DKEY-153M14.1,0.7266665545644764,IER2,0.8146914189633999,CNIH4,0.8947008429724478,PNP4A,0.5693132045430837,SI:DKEY-108K21.14,0.8242031971302453,TP53INP1,0.8760204626953302,ZGC:77112,0.562474377306978,WDTC1,0.6051900483982621,RBM4.3,0.8567203373290769,MCL1B,0.6294709263293129,SLC38A5B,0.8340163717293342,ZNF185,0.6350469252586147,CPE,0.8700207355169991
11,DUSP6,0.827770217447792,NME2A,1.7363581671303099,KRT8,1.2244366560168252,ZNF503,1.2505046769385688,KLF2B,0.752131586613117,EPCAM,0.6992622800575385,RPL35,0.7236345630935047,FZD8A,0.8052435840646636,ZGC:171759,0.8914462547192281,ZGC:92287,0.5688912899831785,TRIM105,0.7407543064094867,SESN1,0.8352987952122162,ERCC8,0.5520041467029672,METTL22,0.5814532002478268,BIRC5B,0.8423459365964305,BX324179.3,0.6228595093493975,OTX1A,0.8277966629929518,CPE,0.6236788151547045,NRXN1B,0.8603917598011818
12,INSM1B,0.8210097952403492,HNRNPA0B,1.7244631707895544,CLDN23,1.2139473687634326,IM:7138239,1.1755210262672933,OTX1B,0.7426481705351529,CLDND,0.6971634861966106,RPL27,0.7057156274384153,ZEB1A,0.8025929412527261,SI:DKEY-47K16.4,0.8857061762557524,BX640584.2,0.5675589754481771,HIST1H4D,0.7383627260016897,ZGC:64022,0.8352742228540336,SI:DKEY-146C18.5,0.5499767180237753,SI:DKEY-93M18.3,0.5784603299050793,SI:CH73-1A9.3,0.8365387177288329,RHEBL1,0.6182831426051829,ADD3B,0.8059672818765246,CNNM1,0.5963381410517821,JAG1B,0.8581201337085362
13,CLUHA,0.8085435124205843,GPRC5BB,1.698827392603,SI:CH211-125O16.4,1.2080273378903963,APOC1,1.1740559146008165,SKA2,0.7286119478267618,VGLL4L,0.6841892711749404,NNR,0.6854051843798623,CDH2,0.7779971023785571,SI:DKEY-97L11.1,0.8807118361086943,KRCP,0.5619753295522134,SI:CH1073-159D7.7,0.7226599758170571,CDKN1A,0.8141329976290842,SI:DKEY-11O15.10,0.549701500176587,ZGC:113425,0.5755859009788602,SI:DKEY-16M19.4,0.833099999355464,CT573263.1,0.6121135205143805,TIAM1B,0.7900244283853958,SI:DKEY-234L24.10,0.5963082811159297,CNNM1,0.8535513410918917
14,PALLD,0.806487180915477,ZGC:173587,1.6648184768777503,SI:DKEYP-67A8.4,1.189091950759941,DLD,1.161307202430921,BOKB,0.7271936117770625,ZGC:173742,0.6841622709579297,LYRM2,0.6845163587001305,RASGEF1BA,0.7604528480164197,ZGC:173652,0.8569693891876207,SI:DKEYP-114G9.1,0.5607726194924746,GBGT1L4,0.7061697665819612,EXO5,0.7474536312814519,HSP70L,0.5469482015354914,FGF17,0.5638945973361974,TSR2,0.8256373610870946,RPAIN,0.5989217335667493,FGFR4,0.7715878123091383,TRIM25L,0.594345688792517,KCNK4,0.8486740210812458
15,HER7,0.7936718094377125,PON1,1.4742094452756103,CLDNB,1.1773740908365111,SP5L,1.0918178640051714,TRIM35-29,0.6970544344127549,SI:DKEY-13M3.1,0.683685324771652,SI:CH211-272F15.5,0.6839579074969528,TDGF1,0.7549386295624084,OTUD4,0.8397219092676627,ZNF999,0.558397842381886,SI:DKEY-261M9.11,0.7057287428390598,SLC4A2A,0.7452922468652793,NPLOC4,0.5422610011130309,SI:DKEYP-117H8.4,0.5620756960010517,SI:DKEY-15H14.4,0.7996910464754308,BIRC5B,0.5919835583991088,PKDCCB,0.7472896939527665,ESRP1,0.5888222888290917,SI:CH211-171H4.5,0.8459063326899765
16,BAMBIA,0.7888419970536783,KLHL22,1.4150113699392288,FA2H,1.1606705141223819,NHSL1B,1.087585181179056,WDR62,0.6755004354849773,SI:CH73-240M14.2,0.6829665076977989,RPL39,0.6829410214694535,NET1,0.7433067422025821,SI:DKEY-188I13.8,0.8385568177191961,SI:DKEY-30F3.2,0.5577209860374379,SI:DKEY-146C18.5,0.6287998205017568,IGF2A,0.7119117643376244,TAOK3A,0.5349640592971292,TARS2,0.5534569760633236,RAB34B,0.7852755465274165,EAF2,0.591358141048626,IRX7,0.7341555698735719,SI:CH211-276A17.5,0.5880441095205288,GRB7,0.8361553729920986
17,CRABP2B,0.7701246380288856,CABZ01001464.1,1.4077874392182181,MGLL,1.1420094457211674,ZIC2A,1.0692740374205743,BMI1B,0.6698307294788625,ZNF1125,0.6712227167185363,SI:DKEY-108K21.27,0.6829162816334152,DACT2,0.7306904109509939,SI:CH211-113A14.15,0.819812200720125,CTSLL,0.5553596523355034,BX324216.1,0.618800510403756,SI:DKEY-204L11.1,0.7010366759111408,TULP3,0.5339700975771489,CECR1A,0.5529411239900369,RAC1A,0.7608645296951947,SI:CH211-190K17.31,0.5898583142835111,SFRP1A,0.7310116919834571,CABZ01064859.1,0.5838946130245872,BAALC,0.829310310371482
18,KIF20A,0.7236367346296809,SI:CH211-241E1.5,1.2876019920402149,FUT9B,1.134465670453071,VED,1.0499724065867728,MYCLB,0.655224038959492,NUDT4A,0.6686554254171043,SI:DKEY-151G10.6,0.6808105934256787,CST3,0.710419548363868,DUPD1,0.8174268067093448,BX005448.2,0.5526743257300466,SI:DKEY-13M3.1,0.603967679981844,SI:CH211-239D6.2,0.69069503351287,UGCG,0.5329877055918978,KLF17,0.5480446937279614,WEE2,0.7539621260813434,CLDN11B,0.5858670304383602,CERS2B,0.7268940483789168,RHD,0.5827318810280179,GBP3,0.8233408269584557
19,UBR5,0.7141511690444643,NRXN1B,1.2666630100417682,ZGC:193505,1.1239423703908575,PRICKLE1B,1.0454872862081428,CHD6,0.6529308252577298,SI:DKEY-13I19.8,0.6664501995567222,SI:CH211-194E1.8,0.6806480239237256,SLC38A5B,0.6791018464936885,SI:CH211-113A14.25,0.8168735762228831,SI:DKEY-47K16.4,0.550604240879397,P4HB,0.5938045813573847,E2F7,0.6831640470328755,CLDND,0.528207827292575,PALLD,0.5405765743684294,PRMT1,0.7474035514731192,SI:RP71-45K5.2,0.5854799009424753,RGCC,0.7263082816477701,PPL,0.5787220789344807,PHYHIP,0.8074402955555029
