,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SI:DKEY-15H14.4,0.0,0.0,0.0025167367493998272,0.020694047179922886,0.0,0.46224570178878044,0.25911226917937275,0.0,0.23307161299447743,0.0,0.30084382537352433,0.20542987814164593,0.24387342431741837,0.21874508356978206,0.9618584281836936
SI:CH211-117M22.2,0.0,0.0,0.17611387500960612,0.0,0.0,0.4461114761905907,0.7426821968256045,0.0,0.3432136631593855,0.0,0.5998945151564585,0.0,0.25008029252783187,0.21593774436095062,0.29291140991648945
SI:DKEY-23A13.18,0.39534584656917593,0.45596375272805906,0.06937878400817311,0.2624042605667499,0.1793129734560441,0.29803490146725425,0.5633530678950055,0.19075869171829202,0.43876023014656573,0.24958741754983238,0.4718463689529675,0.0675638748925037,0.143491002566922,0.1613926953385138,0.09839605636264702
NDUFB4,0.0,0.0,0.0,0.0,0.014949418542054296,0.13299977226086443,0.2487996489003578,0.0,0.4321137447825071,0.0,0.12048569694690069,0.24546614818634194,0.23824382026456842,0.0,0.6152360478659538
MCL1B,0.0,0.10786801844629597,0.4580011883861704,0.11404816506287863,0.0974667190175505,0.439708501551872,0.2982812657776734,0.01954305474058753,0.2523804845707761,0.0,0.4849826290308604,0.004455283911697737,0.21142800725681835,0.20777795423944775,0.7589267592064759
RPL6,0.0,0.0,0.11949298711583924,0.21241393015745985,0.13777323558777346,0.506971515217865,0.5694546936084993,0.10032330406971561,0.6591877492529187,0.0,0.14146985126398873,0.21802675444084454,0.08021929457201186,0.06934258628247279,0.6585189421514678
PDIA3,0.11801168321437154,0.0,0.03091906517474601,0.2580834079652683,0.08396646248628994,0.6305601379395223,0.3645254442868686,0.07117550320421648,0.3646019921802801,0.0,0.4298909417095635,0.25883521332712445,0.29238605221609,0.017163786475567808,0.4967064671057337
SI:CH1073-190K2.1,0.0,0.0,0.038702416726120056,0.0682035570066119,0.0,0.7999830534248463,0.31489112237812616,0.0,0.0,0.0,0.6304172155618877,0.09973670230388999,0.0,0.0,0.43440004977459984
SI:CH1073-26E8.2,0.0,0.0,0.0,0.0,0.027746089147071135,0.3806958988665452,0.2586382128588884,0.0,0.2885165294098481,0.0,0.41308200680967344,0.017892180074850314,0.14877162555847828,0.3094259997686611,0.46167087007768065
HIST1H4D,0.0,0.0,0.0,0.0,0.0,0.3735192517709609,0.39655614006396467,0.011332792334728498,0.3114326152425578,0.0,0.8187128702878163,0.0,0.24990442746703884,0.04722970300562456,0.0
