,0,1,2,3,4,5,6,7,8,9,10,11,12
SI:DKEY-261M9.17,0.0,0.0,0.03916973587576734,0.0,0.0,0.0,0.04789181271653831,0.0,0.7016058698931861,0.08248952934608447,1.6214806247041864,0.3391916292842404,0.0
CR450785.2,0.06443743247164148,0.0,0.0032189679999028516,0.0,0.0,0.0,0.332727487392022,0.0,0.2486089984049671,0.05689072465901727,0.5551356838497709,0.9695850513112564,0.16730251819319497
CFD,0.32453743246086175,0.6647191805300396,0.0,0.19878064062759332,0.1982339449664728,0.0,0.2780491252419679,0.2263710479871836,0.3688142742100284,0.03780952138003759,0.18805490161540542,0.5622768202002147,0.13200105761513325
BX640584.2,0.09105809768110874,0.0,0.0,0.0,0.0036817043395128883,0.0,0.5060760509876838,0.025369025422804295,0.09117149115718981,0.15044281981617352,0.3008889218825441,1.0120820100431394,0.13341098852096916
SI:CH1073-418F12.2,0.0,0.0,0.0,0.027961620743845672,0.0,0.0,0.43261143715221206,0.0,0.26821307856659965,0.20674634073287962,0.2976693468865061,0.83433986466432,0.2884795230690199
SI:CH1073-159D7.7,0.2445560373105145,0.0,0.11257170614856847,0.09679528546616702,0.09310650946123167,0.26702916047795255,0.3595703519374447,0.0948856989096581,0.8933280357802277,0.05920103600574775,1.0153469821630234,0.2312880668223492,0.19183594540334828
DUT,0.0,0.0,0.17529646105287813,0.048052130999880115,0.03193859320208004,0.0,0.6781044952352863,0.03619330884071564,0.700713333982513,0.1598096731859035,0.35467785647126193,0.591322123539316,0.24026090124460414
ZNF981,0.0,0.0,0.020455175438420944,0.15578886373532685,0.03029157295087433,0.0,0.3754415459513898,0.0701875611968249,0.3547406818389712,0.0,0.5649649601314534,0.7432362859494658,0.0
SI:CH211-113A14.16,0.09982432764324962,0.0,0.00434770729951141,0.06175840893129245,0.06115767387514361,0.13338361807970037,0.3662552058927565,0.07441885337280252,0.9906580985785625,0.07539163057157841,0.639549179248347,0.5790154094417365,0.0
SI:DKEY-6D5.4,0.0,0.0,0.32108002359682336,0.5044636834274312,0.0,0.0,0.4365201118413941,0.0,0.36166207996094735,0.20952065574120454,0.40765095389052164,0.909184398633108,0.0
SI:DKEY-23A13.15,0.0,0.18110211889101605,0.0,0.09584428159094761,0.1662064948616134,0.0,0.6243978552236239,0.0,0.5533084249109756,0.24044623986582264,1.1545061610889595,0.38194365418221515,0.0
ADGRE10,0.0,0.0,0.14516037267727086,0.0,0.2699823174611848,0.0,0.39539661426079287,0.023085478548063,0.276382635625408,0.09777458908818364,0.3652270509214729,0.9754121469435193,0.3029527362261375
CU655961.2,0.07060327759487077,0.0,0.06752771693166028,0.05977574613044003,0.30957353183412817,0.0,0.4042284274931367,0.0,0.508663248731872,0.0,0.17436354166357887,0.6567253746787368,0.0
