,0,1,2,3,4,5,6,7,8,9,10,11,12,13
SI:DKEY-261M9.17,0.0,0.0,0.06052427679218916,0.0,0.0,0.0,0.06914410690755086,0.0,0.7321147208300036,0.08320301288927273,1.6041045534593157,0.31937410132523014,0.0068904304573505215,0.0
CR450785.2,0.04178423802253581,0.0,0.007529677795413648,0.0,0.0,0.0,0.34309976132873415,0.0,0.26667971490902553,0.05932844622702619,0.5433732640653677,0.9336982104611513,0.1696922392204139,0.15885322445655548
CFD,0.3150990215557629,0.6562600107529789,0.0,0.16975486177971247,0.23165649778092295,0.029412402096142706,0.27711389543202414,0.2075269245929353,0.3817608524511771,0.02424364818759405,0.1742011020497275,0.5745440376690872,0.11023131070257432,0.13346183022131325
BX640584.2,0.05957853438395203,0.0,0.0,0.0,0.0,0.0,0.5117899473321252,0.022898767956576124,0.11628514569787139,0.15271399469042993,0.30327128794970276,0.9606711731792138,0.20713012121451496,0.1256167110816432
SI:CH1073-418F12.2,0.0,0.0,0.0,0.02778364420190689,0.0,0.0,0.4371190687499358,0.0,0.28882885205258174,0.20685805157667578,0.2849259177409659,0.7900721567745864,0.13671030316145932,0.2906939248499114
SI:CH1073-159D7.7,0.25847282982410963,0.0,0.11471645649449294,0.07565218457443608,0.08349356909467055,0.2695160080224707,0.368071686878227,0.08406726833402332,0.9159766905493352,0.053786557276128695,0.9910967778220773,0.22040832719042747,0.11634652576400974,0.1798991630109321
DUT,0.011518141113977304,0.0,0.18161278951302257,0.022737852115223875,0.08130150927614584,0.0,0.6805589482299912,0.004735429895482737,0.7177110366685435,0.14121490914513213,0.34382824886311397,0.6081964740419783,0.0,0.22876304161895727
ZNF981,0.0,0.0,0.026282843385442296,0.14868547946435742,0.028371459602971497,0.0,0.37605485896649765,0.06100134141768097,0.37743983666008735,0.0,0.5682866383874534,0.718136483404995,0.09873295864593631,0.0
SI:CH211-113A14.16,0.1163368133434668,0.0,0.0026718795422338076,0.04732722439267269,0.025181095881393178,0.13510570778327632,0.3666183954345969,0.0663425403254764,1.0146978152595643,0.06731259494634738,0.6228151816665155,0.5554891350804202,0.12774133037572066,0.0
SI:DKEY-6D5.4,0.0,0.0,0.3389318499200424,0.5065818620472722,0.0,0.0,0.4479598103650678,0.0,0.39418836717378103,0.20212833362343058,0.3954102828624957,0.9079760655031005,0.0024191878555218757,0.0
SI:DKEY-23A13.15,0.0,0.17882001558628133,0.0,0.092591043292344,0.16303012273043216,0.0,0.6374295909519732,0.0,0.576099179499814,0.241267624965076,1.1360246649973402,0.3556483542594721,0.11127686299769071,0.0
ADGRE10,0.0,0.0,0.11923773249417176,0.009110804237654565,0.01306478089625625,0.0,0.38034608965097727,0.07568595348870343,0.28701914365978215,0.11420224684996272,0.3959835460679314,0.8280407751776595,0.5977498329231266,0.29977533557624514
CU655961.2,0.07827870755571245,0.0,0.04084800944862418,0.08737417222767002,0.10654861484172702,0.0,0.3825584403886688,0.0,0.5181045352043423,0.0,0.1930127973897642,0.5665102300350049,0.4699395488656407,0.0
SI:CH211-190K17.31,0.021609875209785873,0.014747381614111254,0.05725878070774478,0.07106701019656989,0.0,0.0,0.49093633388358543,0.0,0.1422079451502625,0.17974544003948392,0.38905644692013375,0.9890461794095263,0.22315654827720627,0.23799558778343663
