,0,1,2,3,4,5,6,7,8
ZNF981,0.6478399562846225,0.0,0.0,0.2587570458280543,0.11462845104834127,0.0,0.5041848055652485,0.44022327047517573,0.0
SI:CH211-113A14.16,0.45769051036416125,0.0,0.0020774485917250157,0.2085146985891732,0.1108355982488774,0.12859627653069264,0.9425216383967708,0.5758083298032277,0.1549579263507649
SI:DKEY-6D5.4,0.7110899864948472,0.0,0.22671410796843278,0.6368312213921109,0.0,0.0,0.6092917381073325,0.3600727801129894,0.1704578288158972
SI:DKEY-23A13.15,0.2842790769071238,0.0,0.0,0.232042612025762,0.5038018223253038,0.3286116796459957,0.9830289790076907,0.2773542670672713,0.1074616815589986
ADGRE10,0.9206167944589265,0.0,0.20311732803179305,0.04942826066176441,0.2490721344565811,0.0,0.465721143885737,0.3021362798774538,0.08461048126980703
CU655961.2,0.5671987239931752,0.0,0.08232219699654811,0.13852469294937583,0.2559707305889446,0.0,0.572779798394868,0.2658838008958223,0.0
SI:CH211-190K17.31,1.0407280898818805,0.0,0.06090652105629864,0.15193572063391989,0.0,0.10805707759810658,0.4415211891068586,0.17636716889485657,0.12489911765493619
SI:DKEYP-3B12.8,0.3370112479075079,0.0,0.0,0.11292359175226979,0.0,0.11276261201957223,0.7130370063668764,0.2463340683457419,0.02323154206208785
FAM78BB,0.9214849481114031,0.0,0.0511225914392032,0.16643700913642595,0.0,0.0,0.6166640173717665,0.16917034066410944,0.13483599122466292
CABZ01111915.1,0.7271768942618122,0.0,0.054732140077963495,0.20129123113659825,0.0,0.0,0.2350210312920688,0.5048248617519088,0.16364366191366442
WDR21,0.7532214867794539,0.0,0.0,0.07271127172272819,0.2753673368397244,0.1390376118052105,0.30449561457335295,0.4109408536869473,0.13909592288847297
SI:DKEY-95P16.2,0.7082094775492306,0.0,0.022865258755401595,0.32627691213215687,0.0,0.0,0.5633287762265905,0.6431059940032425,0.18296077719536488
NCALDA,1.0211928171424476,0.0,0.09475676920585943,0.14180106659805033,0.2193280500337909,0.052236807743066736,0.467996015206292,0.32687407648338634,0.07370336073997148
SI:DKEY-15H14.4,1.068658701723484,0.0,0.02932017704588609,0.061706961305590606,0.0,0.006277811921203396,0.4839826854608084,0.07645057432545543,0.13499296246403242
SI:CH211-117M22.2,0.4576677106428549,0.0,0.22121144341811372,0.025037455465069258,0.08626224139202184,0.0,1.0285542710287152,0.18084657281617067,0.0
SI:DKEY-23A13.18,0.24422669375728626,0.5376273675319949,0.11493852929691128,0.286779312516893,0.25112388894019505,0.3588442914648023,0.6852592774110972,0.4575412107953532,0.14536014785367732
NDUFB4,0.6274370762723588,0.0,0.0,0.05523310934615937,0.01637330030299185,0.0,0.241378736602593,0.28035096571235263,0.2689261945805096
MCL1B,0.773693492020333,0.04591907330489334,0.46869790390073324,0.19342155771043015,0.22909321677868236,0.09318532796818715,0.5186434361599984,0.18923040778502137,0.0
RPL6,0.6608554447948277,0.0,0.1499852434108522,0.29455236981765387,0.06328815897901846,0.0,0.7494536260173218,0.4296371186194675,0.2336546456657495
PDIA3,0.6367712457071504,0.0,0.0,0.290511843436333,0.22052035466441428,0.14554029201755955,0.7239538103447767,0.2517415384185964,0.2259559435095806
SI:CH1073-190K2.1,0.4391509267824632,0.0,0.0,0.09143566082640141,0.0,0.23117858138758637,0.8874303355688692,0.0,0.0
SI:CH1073-26E8.2,0.5718376539223771,0.0,0.0,0.03487905649690543,0.08729407239767335,0.05252285912531815,0.5288879604912681,0.19703793223478105,0.0
HIST1H4D,0.16306192579077183,0.0,0.0,0.02707347383647475,0.20161507698751158,0.0844389892176533,0.7544317586844839,0.31741059062330634,0.0
ZGC:165555,0.15466887430577425,0.0,0.0,0.057814644954741104,0.1887212752355712,0.19580869427864406,0.7249310960854158,0.24147737577427367,0.0
FP016247.1,0.22549209720624,0.0,0.1960400897989296,0.05668264974398377,0.04470050618128255,0.12210836885925319,0.773690101761392,0.012080747555739646,0.0
TADA1,0.6400378171339657,0.0,0.03258022375377235,0.0,0.28542726006871144,0.0,0.7541467673710684,0.2503799416524495,0.06670912542851377
SI:DKEY-193H7.5,0.7120953649623726,0.0,0.0896952455813177,0.0909028993087688,0.0,0.3378607525539043,0.5011279380709618,0.3162555790001711,0.06313264788420175
SI:CH211-210C8.5,0.6115980994728704,0.0,0.05785301932657172,0.23590712981987588,0.147907073252206,0.009789141906984676,0.10222721349671184,0.3952429030464108,0.11223541745840351
SI:DKEYP-3B12.15,0.6771291460284096,0.0,0.19789017779106047,0.017291852356112653,0.0,0.03419591814954372,0.22704568632187686,0.0,0.21858744900239788
SI:DKEY-77P23.8,0.6623133768484017,0.0,0.18998229197135397,9.43751846750736e-05,0.0,0.0005508073400432198,0.30988236010191167,0.0,0.20915966534677605
SI:DKEYP-3B12.13,0.6593916861845587,0.0,0.18544539180112346,0.04703245037577272,0.0,0.009797689309658474,0.2766319317355896,0.0,0.20553239354429034
SUPT4H1,0.8965962404899147,0.17907925511227035,0.17280359778567228,0.2597367794111117,0.10321314219440203,0.0,0.5859123904633836,0.2702847102250549,0.1563289896638016
TMED9,0.6737351774773591,0.0,0.16183970680171023,0.136184932021536,0.31130121441154535,0.018632385526389305,0.4362736286339343,0.3383336953578616,0.26164998702965
ZGC:92287,0.6891038038389651,0.0,0.23091553396631964,0.11998801472559614,0.11969560127842731,0.0,0.49153916862670655,0.420338358983196,0.12438832922796096
SI:DKEYP-14F10.3,0.5434185680661708,0.0,0.0,0.022579104797712708,0.13147930671206196,0.24569962679685947,0.4978691478051686,0.25046212911388843,0.18481738597698955
SI:DKEY-23A13.10,0.461169541373755,0.0892027932416188,0.15594459424632467,0.2551154860396817,0.2831456624555803,0.2724890983013182,0.6611511546982335,0.4902931278299178,0.14431137583770073
CDKN1BB,0.6300637810422773,0.08992621864763406,0.1692726500921379,0.22373055927482957,0.29465561440786175,0.0,0.9318569338431807,0.18619839754248463,0.021495538969957602
SI:DKEY-53F14.4,0.6249224619186925,0.056004256545874896,0.04488901031832446,0.1163800759413296,0.0012413858400258156,0.14417885126982005,0.7054143883049027,0.4116569384081664,0.20865756932218243
MCC,0.6680143872420399,0.004851375433319112,0.25317292683018294,0.23333850815654233,0.14536527675201774,0.19866479314454868,0.401846893832702,0.4942284798712573,0.18753732285217758
BZW1A,1.0120579861290855,0.08124982714583098,0.10262713188609772,0.20998975106440626,0.11033592660328718,0.0,0.6106558032431414,0.25750400413890145,0.17647104917879677
GDF3,1.070531209863492,0.041822928085540646,0.0829137821780516,0.07477321800626612,0.29488609673941346,0.0,0.5139159025594566,0.3689684016902398,0.25820113098823805
BIRC5B,0.904474881633925,0.0,0.16531624308637569,0.12015612507655672,0.46080499524898993,0.0,0.36223478147092913,0.0,0.2301752994470227
CNIH4,0.6167118734857995,0.0,0.06103429654526525,0.29668547806284706,0.034074391197500824,0.0,0.19510987627105228,0.5975201413207819,0.29914897773467836
SI:DKEY-23A13.16,0.1547497127076703,0.5717197717239871,0.009555666918788038,0.40378655837604405,0.30739709801443843,0.49527795905556454,0.48854748478380156,0.5331927283149794,0.13931758268066166
KRT97,0.37465302502756603,0.0,1.3398834220135767,0.13223552298062385,0.0,0.0,0.2892750376090308,0.4497735569149186,0.3215741077011142
