,0,1,2,3,4,5,6,7,8,9
SI:DKEY-23A13.18,0.20634472957773636,0.5152729937661223,0.10503343616908091,0.29222133573525727,0.25628867577194475,0.3689972039398184,0.6416490707135962,0.2878336103142177,0.48561329094282135,0.11154596131062924
NDUFB4,0.6089082141409448,0.0,0.0,0.0542090669852934,0.01286076178719492,0.0,0.19853994645101938,0.14442841321074765,0.3345202078434436,0.26261197212986837
MCL1B,0.7565949425919455,0.08660825447299454,0.513631096592687,0.18074495355911305,0.04545688051216955,0.0,0.5192288087328738,0.5310004472718649,0.07492528682730172,0.0
RPL6,0.6421470076747545,0.0,0.12597493840850835,0.2976305927053711,0.09055924164276735,0.0,0.7037577653694891,0.1364878593990575,0.5393821676496569,0.2061189642400319
PDIA3,0.6070307981514299,0.0,0.0025170111738985123,0.2954896273962187,0.1747440904371004,0.1053304359906071,0.6894349150982649,0.31343132242068655,0.28564828496038,0.23579281980625263
SI:CH1073-190K2.1,0.3608416086556338,0.0,0.0,0.10542472766159282,0.0,0.09323999534103107,0.8651718467642656,0.4293294141866709,0.0,0.050021852781296054
SI:CH1073-26E8.2,0.5576916455263999,0.0,0.0,0.045054898691949445,0.0,0.003983067606349699,0.5105862817273754,0.35881564882248124,0.12559074150712723,0.012279618980590263
HIST1H4D,0.11850696521917134,0.0,0.0,0.03534522334509017,0.1051325024217524,0.0,0.7061734167836236,0.5050246843879065,0.25251836247101983,0.0
ZGC:165555,0.10423988860605388,0.0,0.011927153205372562,0.0641133087541284,0.049651511959482995,0.061326374259253004,0.6770945359241689,0.6113192407994147,0.15912236203369348,0.001406018257983292
FP016247.1,0.18653693596585616,0.0,0.23248035104995046,0.0674644914968657,0.0,0.03975837728917618,0.7518868757477936,0.24551770989093155,0.047338612832193774,0.0
TADA1,0.6031937794111629,0.0,0.02070765654052196,0.0,0.2541354115160511,0.0,0.6977793504261486,0.24823745238529196,0.3357518492328109,0.06639304332063249
SI:DKEY-193H7.5,0.6947030510889515,0.0,0.08149888615946746,0.0952827299743784,0.0,0.29928566826708747,0.48195993056584846,0.22362492530558,0.33096377470064214,0.056211403766705914
SI:CH211-210C8.5,0.6017362029556452,0.0,0.022632011168410772,0.23101430074012144,0.18521505327398316,0.010411844154771227,0.05892536559971079,0.11708869580593163,0.45756045947767343,0.07298610387289718
SI:DKEYP-3B12.15,0.6242749817851002,0.0,0.21818076648969253,0.007102058729398452,0.0,0.0,0.18803738702496028,0.27861407334665395,0.0,0.2796851001051712
SI:DKEY-77P23.8,0.6090187382479249,0.0,0.20699979417749018,0.0,0.0,0.0,0.2691391892173637,0.24836021040558193,0.0,0.26474382160112125
SI:DKEYP-3B12.13,0.6040662271577328,0.0,0.20387873652526092,0.03593092613272565,0.0,0.0,0.2343612812410477,0.2683542115782192,0.0,0.26521448233864464
SUPT4H1,0.8734513940527301,0.17580031087329467,0.17776380360619132,0.26342764855344386,0.08494773407247347,0.0,0.566041884783273,0.22786887790446003,0.29410670144221496,0.14986424097639672
TMED9,0.6619122685137757,0.0,0.14647630872971928,0.14103678229536207,0.31218755192974246,0.006578446496460157,0.4017518841193864,0.2320633697627791,0.37341561104833243,0.22168980800125948
ZGC:92287,0.667753306384664,0.0,0.2306435018973032,0.11537895931055388,0.07600135818832883,0.0,0.43546969906082195,0.2826906956896252,0.4337471168591862,0.13808672319671028
SI:DKEYP-14F10.3,0.5080723912230569,0.0,0.029748385018658067,0.0234365125110584,0.02893786014368582,0.15084593448971312,0.46629355202958234,0.48697293625703303,0.1683585042291677,0.24116458390028483
SI:DKEY-23A13.10,0.432053237071224,0.06953247604899017,0.14071582918814013,0.26625061227315194,0.28748204156332785,0.28428761805682096,0.613516464726388,0.2819063111531195,0.5215795824841767,0.08672183902605023
CDKN1BB,0.5759162951896546,0.07532566585738901,0.18053979715520566,0.23314603306086978,0.2550732044176104,0.0,0.8766760812074086,0.3161226524723634,0.2360602544382848,0.05645821307450271
