,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17,Module 18,Weights 18,Module 19,Weights 19
10,ACO2,0.6002768916145634,ZGC:173587,1.7617386651606115,CLDNF,1.1317884142364525,GBX1,1.3585422885695555,BX005448.2,0.7042783543450218,CR388042.3,0.7064732374392709,NNR,0.6885054972053505,PRICKLE1A,0.7956962652476718,SLC38A5B,0.8155577441603548,ZGC:101000,0.7137589073759499,SI:DKEY-108K21.14,0.8194896157477364,TP53INP1,0.8757200353343155,RBM4.3,1.0305573665662504,WDTC1,0.5950882527869072,CU655961.2,0.553665701661699,KLF2B,0.7621058811883835,TNFAIP8L2A,0.8874333814857909,CABZ01064859.1,0.6345064921858969,OTUD4,0.8914325351900002,BAMBIA,0.8689876551506219
11,SOX32,0.5951994751865712,HNRNPA0B,1.7515467367589266,SVOPL,1.1230027395868913,ZNF503,1.27773808366317,BX511215.1,0.6964670455793811,PPIB,0.6849829905209821,SLC35A4,0.6801728588302697,FOXD5,0.78978562913592,FGFR4,0.8097336869042793,MID1IP1A,0.6912486785535368,HIST1H4D,0.7533852297817663,ZGC:64022,0.8586229013980022,SI:DKEY-15H14.4,1.0213983435336713,SI:DKEY-93M18.3,0.5937150656182456,SI:DKEY-11O15.10,0.5489079181048159,OTX1B,0.7467275636392926,SI:CH211-171H4.5,0.8725803674539468,VPS13A,0.6318073407810695,SI:CH211-113A14.16,0.8887226143375374,MID1IP1B,0.8569298968185518
12,NFYC,0.5833472548866715,DIABLOA,1.7248116560761382,MID1IP1A,1.1098336665761155,IM:7138239,1.2260199184062677,NDRG3B,0.6855836834188979,ZGC:173742,0.6843303128822922,SI:CH211-113A14.10,0.6790691593709932,SESN3,0.7763286887612175,IRX7,0.7706188656238049,LYE,0.6839438715239642,SI:CH1073-159D7.7,0.7310800806804735,SESN1,0.8219229473651907,PPIB,1.0213532301673018,FGF17,0.5777699367283428,SI:DKEY-146C18.5,0.5379717335921178,BOKB,0.7393588898435827,CPE,0.8703852811794338,PLECA,0.6243044855565137,SI:CH73-36P18.2,0.8704531051364913,HER7,0.8414951171571454
13,SI:DKEY-261J4.3,0.5786204906454837,NME2A,1.684344834147941,KRT18,1.1045789232649434,DLD,1.170522463652527,FZD8A,0.6735084469698901,ZNF1125,0.6832218958847913,SI:CH211-113A14.16,0.675948793594815,FAM13A,0.7611307232869822,PKDCCB,0.7639487994321585,SULT6B1,0.6828677471198018,SI:DKEY-261M9.11,0.7128392728380657,CDKN1A,0.8098986121360829,BIRC5B,0.9900561112916295,METTL22,0.5717284968515184,UGCG,0.535812565867695,SI:DKEY-11O15.10,0.7374953484614852,CNNM1,0.8660907261673801,MYLK4B,0.623734658946285,SI:CH211-113A14.10,0.8701791879389095,EVE1,0.8104905118430423
14,TMEM205,0.5524421477834144,GPRC5BB,1.6298352067441462,STYK1,1.09693304195485,NHSL1B,1.1191507292247413,BX324179.3,0.6708440708474315,SI:DKEY-13M3.1,0.682383849041399,STM,0.6758850458167724,IER2,0.7590110834893848,LAMA1,0.7466033220980044,SI:CH211-125O16.4,0.6827898979714064,TRIM105,0.7085040594281078,SLC4A2A,0.7475630006184634,TSR2,0.9843145412747847,ZGC:113425,0.5683047021709667,ZGC:77112,0.5341093833540135,SKA2,0.7211325067461575,NRXN1B,0.856856051800094,CNNM1,0.6025986084968633,ZGC:163040,0.8683772530977669,CBFA2T2,0.7998772121704544
15,ZNF1136,0.545978557510273,PON1,1.380940845761591,ZNF185,1.0921144395732878,ZIC2A,1.0938462017166701,ZNF995,0.667938029378652,EPCAM,0.6759868636340217,RPS17,0.6756702324992911,CDH2,0.7587081970065384,ADD3B,0.7441146720343773,TUBA8L2,0.6691572381332939,GBGT1L4,0.6913827231638797,EXO5,0.7469377741319482,RAC1A,0.9805243551888504,SI:DKEYP-117H8.4,0.5568383151192643,TAOK3A,0.529205305239794,WDR62,0.7078686544623958,KCNK4,0.8560009801257162,TRIM25L,0.5979302407105244,SI:DKEY-108K21.27,0.8667274196701232,VENT,0.7846046164490749
16,ZNF995,0.5362717585835872,CABZ01001464.1,1.3630157691185991,FA2H,1.09038752176922,SP5L,1.0861443745841646,EAF2,0.6676656158144588,CLDND,0.668683063432579,PSMA4,0.6724208096074913,DACT2,0.7565046727861154,PPIAB,0.7440950380287392,KRT8,0.6518774701131395,BX324216.1,0.6354286942085172,IGF2A,0.7236917768274407,SI:CH73-1A9.3,0.9685772246209203,TARS2,0.5466152747010181,ERCC8,0.5257759035957105,TRIM35-29,0.70467187694837,FTR36,0.8403342731024871,ZNF185,0.5912867953504904,SI:DKEY-153M14.1,0.838419906556795,CRABP2B,0.7824103688668833
17,SI:DKEY-146C18.5,0.5352641563931447,KLHL22,1.3520091075159395,PONZR5,1.079681178903894,PRICKLE1B,1.0747861176207392,ZNF1065,0.6671577866394293,IFI30,0.6601974901281494,RPL39,0.6722964140395269,RASGEF1BA,0.7303046747097655,SFRP1A,0.7407615786954289,GRHL3,0.6453894082998459,SI:DKEY-146C18.5,0.593343497270511,SI:DKEY-204L11.1,0.6947486776602282,SI:CH211-267E7.11,0.947016647811168,CECR1A,0.5461629785395196,CLDND,0.5219453367751058,BMI1B,0.6895999011579326,BAALC,0.8351698913786368,UPK1A,0.5791378807704224,SI:DKEYP-3B12.6,0.8347844532890982,KLF2B,0.7820802797135344
18,CABZ01117575.1,0.5324288121812617,HUWE1,1.3257368822597395,CLDN23,1.0722270715636382,APOC1,1.0292494102762972,ZGC:77112,0.6596255386487366,NUDT4A,0.6561119616491563,LYRM2,0.6683563837640412,FZD8A,0.7095884629172869,SI:CH1073-80I24.3,0.74059310793156,FTR82,0.6446610122581401,SI:CH211-113A14.26,0.5901483915441055,SI:CH211-239D6.2,0.6885899702496066,PRMT1,0.9392656184877056,B3GNT8,0.5454405951378044,NPLOC4,0.521073641483998,ANKRD12,0.6806343545830112,PHYHIP,0.8295566856704278,LYRM1,0.5769904494909254,SI:DKEY-108K21.26,0.8344491905349981,WWP2,0.7171021449782949
19,ASB11,0.5297771367940184,SETD2,1.2473205934540113,SI:DKEYP-67A8.4,1.0709706599563578,ARL4AB,1.0193298595708626,PALLD,0.6475573199630612,SFRP1A,0.6553319954313744,SI:DKEY-151G10.6,0.6681187050623355,SLC38A5B,0.6851714717130589,MYCN,0.7217420599334311,ALOX5B.3,0.635080129545683,SI:DKEY-13M3.1,0.588167060704078,SNX11,0.684625995713218,ZNF986,0.9351919057610018,DUSP4,0.540636888764348,TULP3,0.5174358852067273,CHD6,0.6627415136159877,GRB7,0.8281739859888231,MYO3A,0.575080662429011,HIST1H2BA,0.8322486141613687,ATP2A3,0.706365351733523
20,HNRNPA0A,0.5277952095714997,SI:CH211-241E1.5,1.236127798652468,MGLL,1.0675627097201994,SI:DKEY-27I16.2,1.0093548738216123,ZGC:64022,0.639174807804865,ITSN2B,0.6384931937330041,SI:CH211-194E1.8,0.6670473714761661,AMOTL2A,0.6768265187668602,SP5L,0.7202832559258104,DEPDC7,0.6294650429480408,CA9,0.5712367436778838,E2F7,0.6797275896603756,SRSF1A,0.9284084741146064,ANKRD16,0.537461960609685,BTG4,0.5151118937052953,MYCLB,0.655213564621086,RNF213,0.8115184835231658,RNF220B,0.5642060183399623,SI:DKEYP-3B12.12,0.8263247430575441,CABZ01092285.1,0.7010675167852405
