,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15
19,BAMBIA,0.8187362761086748,SI:CH211-241E1.5,1.325684907937509,MGLL,1.1477051428825333,HES6,1.016123011291897,CABZ01002768.2,0.5834313566523889,SI:DKEYP-14F10.3,0.6589485919110977,RPL39,0.6818399092831183,LFNG,0.7033053033476218,SI:DKEY-47K16.4,0.6504489072681251,SCOCB,0.871743664809177,SI:DKEYP-14F10.3,0.6809966331961265,SNX11,0.6685632316087664,UBE2V2,0.730645328363105,ZNRF2,0.5402278789446813,CR450785.2,0.6247482937943681,GRA,0.7330203965257884
20,CAPRIN2,0.8045180796037127,DDC,1.3007352722411352,EVPLA,1.1410556250904809,SZL,0.9938344121428134,ZNF1031,0.574258684755401,VGLL4L,0.6526381875904608,SLC35A4,0.6811482947728035,IER2,0.6966786371764905,SI:CH211-114N24.6,0.6476537482142422,ARID3A,0.849621150728767,GBGT1L4,0.6803882783037208,ISG15,0.6651405040792674,SOD2,0.7287964448396737,CECR1A,0.5390624058583111,BIRC5B,0.6225185551684903,CLDNG,0.730754381005013
21,SI:DKEY-11O15.10,0.8023633458838235,ZNF1068,1.2951951570953977,FTR83,1.1326608625504595,MSX3,0.9826215826680803,CAMSAP2A,0.564480362347068,SFRP1A,0.6499607318748147,RPL11,0.6780357052967643,TCF7L1A,0.6913882969104844,ZGC:113984,0.6455045500445162,JAKMIP2,0.8481124484524802,SI:CH211-113A14.26,0.6730710568814172,IGF2A,0.6627359074298608,ZGC:91910,0.7095283941990825,B3GNT8,0.5385584592901699,EAF2,0.6216874335145679,CNOT4B,0.7203555226800307
22,POLR2A,0.7996223315766015,SI:CH211-168H21.2,1.2885429071716685,KLF17,1.102463355494478,HER1,0.9815672932045588,SI:DKEYP-114G9.1,0.5634754529322801,DRL,0.6499195850617643,PSMA4,0.6720609894739322,LRIG3,0.6778135109454444,ZGC:158463,0.6427113369137761,SI:DKEY-58J15.10,0.8429280022977472,CA9,0.6716120008413418,E2F7,0.6626105968906075,ZGC:173742,0.7062050925590211,MAL,0.5342472788667272,BX324179.3,0.6214679051149992,MID1IP1L,0.7098807930791284
23,HUWE1,0.7986403837602902,CPE,1.2672844026406795,FUT9B,1.0910530668521115,VENT,0.9718980533793383,ELOVL7B,0.5608138596329751,BLF,0.6441099124309493,EGFRA,0.6681880890503307,AMOTL2A,0.6771812746306314,KRT97,0.6379322424244072,FTR36,0.8405291513131945,BX511215.1,0.6621484259708593,BCL3,0.6577912942584613,ADGRE10,0.7040919936233543,FTR82,0.5331597272404388,SI:DKEY-15H14.4,0.6167679837790377,BCL2L10,0.7056876727935049
24,CRABP2B,0.7964905062387422,SI:DKEYP-79B7.4,1.2206167116296336,FTR82,1.083491736243285,ARL4AB,0.9626510690688768,BX324155.1,0.5604980807602555,SI:DKEYP-3B12.10,0.6432078592666551,TMEM258,0.66714908681388,SOX2,0.6626259302244444,PCDH18B,0.6356665476375836,SLC7A8A,0.8296066984114967,RAB35,0.6509530956682914,LNX1,0.6493867343571362,RPS18,0.697741080847502,DUSP4,0.5328087678794616,ZNF1125,0.6147117659288031,SI:DKEY-163F14.5,0.7015381601730063
25,ZGC:173587,0.7957379915226918,CR318603.2,1.2178559253577599,PLEKHF1,1.0797456235947054,LEF1,0.9598936753219909,ZNF999,0.5578268844987266,PGAM1A,0.6392216957948013,NNR,0.6647967002479892,PRDM14,0.6564673314405349,GNL3,0.6343526992956815,CABZ01009880.1,0.8216974985091472,SI:CH73-275M14.1,0.6468191831498069,RASL11B,0.6297929157215916,SRSF1A,0.6912555636939379,PALLD,0.532175258008813,ZNF1065,0.6144845263812556,VAT1,0.6980445574173129
26,SI:CH211-113A14.8,0.7821568846899719,HUWE1,1.1848026198859978,GRHL3,1.07734080407124,PRICKLE1B,0.944483854684372,ZGC:92287,0.544739743159753,DUT,0.6366832025861372,SI:CH211-272F15.5,0.6627433495546697,SP5L,0.6201050370889468,RPL6,0.6318327382406977,UPK1A,0.8035286423023091,SI:CH211-117M22.2,0.6352938920425201,RPS27.2,0.6111111007129333,SI:DKEY-6D5.4,0.6894316422661984,ELP4,0.5287202550648114,NDRG3B,0.6018755188832439,RPAIN,0.6972090273392714
27,MAP3K1,0.7806101057831535,MLXIP,1.131638971189083,ELOVL1A,1.0743056257628387,SP5L,0.9421160301102541,SULT6B1,0.5414143754013055,SI:CH211-268B13.3,0.6364021955856114,RPL23,0.6578130527635214,ETS2,0.6144295531038374,PRDX6,0.6281955874825919,KLHL22,0.8011357740548205,SI:DKEY-13M3.1,0.6158187958392837,RGS20,0.6038894461702168,RAC1A,0.6876155048062959,ANKRD16,0.5265942079420614,ALDOAA,0.5957445388392364,KLF2B,0.6909842461944
28,HER7,0.779013159642468,ZNF1080,1.1279049275893132,GADD45BA,1.07196491727258,SI:DKEY-261J4.5,0.8915775962125494,ASB11,0.5391365082154738,PBXIP1A,0.6340084163315328,SI:CH1073-159D7.7,0.6549750057819822,GLT8D1,0.6058360812343333,RPS15A,0.6280651259508655,KCTD5,0.7960385312332169,SI:CH211-113A14.16,0.6129195547241851,GADD45AA,0.587741551083498,SI:DKEY-16M19.4,0.6852162310213961,TDRD7A,0.5157240067761849,ZNF981,0.5934899609053724,TRIM35-29,0.6843051462664953
29,IDE,0.7785692430603234,CR759907.1,1.1224819804813155,PERP,1.071911825525953,DRL,0.8878795561670783,SI:DKEY-7J22.4,0.5366157306497332,CR361561.2,0.6326541980843605,RPLP1,0.6485296885339166,CABZ01070258.1,0.5986352158626359,SI:DKEY-23A13.4,0.6280636294797955,RHD,0.7878403724076047,P4HB,0.601845669865072,SI:DKEY-117J14.6,0.5499957657702802,CFL1,0.684545978529043,SI:CH1073-205C8.3,0.5150702323313029,CLDN11B,0.5906349065117883,DDIT4,0.6792708888226853
