,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SI:DKEYP-3B12.15,0.0,0.0,0.23610014923345915,0.0,0.6374028565458207,0.1293251144542785,0.22705610981731267,0.0,0.0,0.012720584505501582,0.35551699851129237,0.24100225155584185,0.17909200926430707,0.0,0.0,0.0
SI:DKEY-77P23.8,0.0,0.0,0.21187565377050127,0.0,0.6322350092584429,0.07515443543382294,0.3796442381532618,0.0,0.0,0.025882529349646965,0.3453803158717215,0.21941051082595947,0.1604490540216724,0.0,0.0,0.0
SI:DKEYP-3B12.13,0.0,0.0,0.22622763546678756,0.01202723078774246,0.6255928013216229,0.1445884143457433,0.2818720711894556,0.0,0.0,0.006872200626278807,0.33478253386729195,0.22978798498613742,0.16624864537861286,0.0,0.0,0.0
SUPT4H1,0.24605918147788103,0.015347168294321872,0.24332767122433177,0.3187571188537242,0.75479057664469,0.5064899370176511,0.37389649641114436,0.3431845953728339,0.29081230451976303,0.025230887511300062,0.0,0.15515997003183293,0.18425804211980806,0.0,0.1719942097862346,0.0
TMED9,0.0,0.0,0.19546588598079392,0.09614116065207015,0.4557732706816669,0.6747346656857492,0.024166561920007774,0.08369892114156786,0.502623827125156,0.0,0.14176161753148075,0.27995110303153614,0.37510164568031756,0.32660309631827333,0.23414010532695995,0.0
ZGC:92287,0.0,0.0,0.2414542310602476,0.02355371079482628,0.6247105239741566,0.42300999754664975,0.2830051959963046,0.02385197436816506,0.5161970287668968,0.0,0.27743862602269836,0.11823439547904388,0.14119987620825622,0.3010610756414091,0.15864401997070948,0.0
SI:DKEYP-14F10.3,0.0,0.0,0.13783378123657736,0.0,0.37142473016398364,0.6208265027326957,0.0012119301892183122,0.0,0.34329215893594567,0.0,0.7080525055129678,0.29095932611070774,0.18554282579326994,0.017852913918972077,0.010937774184908291,0.0
SI:DKEY-23A13.10,0.31506298772347346,0.0,0.11375434379410503,0.26443169087596213,0.26827921743029753,0.37906630322253254,0.5218019749534967,0.2821084194196582,0.48323610012227186,0.18125288214444543,0.27039764312919634,0.06817431238071466,0.26591861966965613,0.38203212767912337,0.19045766361195451,0.0
CDKN1BB,0.0,0.07815189696411713,0.16554477160492526,0.20088410942718016,0.5501093532860867,0.6089308254511315,0.616715780930055,0.08453005388424528,0.38752358097529976,0.0,0.2422640742914958,0.10509180905338927,0.1712164303200732,0.21983143757128576,0.3059938489518704,0.0
SI:DKEY-53F14.4,0.17677503902700606,0.0,0.04180196658974844,0.0731534474750378,0.512744636582009,0.5376287410542258,0.4215772542105567,0.08361661729429411,0.5433783657667408,0.0,0.30643017102538467,0.2079214401257235,0.1635056587406246,0.0,0.0,0.16375117802307407
MCC,0.22323578170645678,0.0,0.21852555695615097,0.14297428094218026,0.5948037529408965,0.4908747385442616,0.16393796975255204,0.15904730774255052,0.5204246815591143,0.01811478630556952,0.2657721195472878,0.1406401856274815,0.028251868978034597,0.347821280089592,0.11588126587970658,0.142340122510145
BZW1A,0.0,0.06260420448286053,0.06950383557829949,0.1823247966990086,0.9190901183975879,0.47073226748300545,0.4494362743177584,0.15034150977387653,0.38217693570444233,0.011625372319795883,0.21882801418793973,0.2077280663680778,0.3669433891732209,0.14498724913135974,0.04522883712557955,0.06313344317467529
GDF3,0.0,0.07369314235918299,0.03058909973977836,0.014840307457136019,0.9818628554626956,0.40686363428020084,0.4225010289971475,0.13811646487600165,0.4806018368734235,0.0,0.2644724561257215,0.26052875445915746,0.5177952541430616,0.1916200392827254,0.15439738943046197,0.0
BIRC5B,0.0,0.0,0.17487554645284403,0.11690715266465371,0.9090589659921068,0.3484646428274125,0.2814618546587181,0.09527014898384549,0.0,0.0,0.24275450179826655,0.3100858361634301,0.4153140109286281,0.0,0.3555248731667444,0.0
