,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CFD,0.15597249370214367,0.7749742351743888,0.0,0.10318749837234706,0.22292477652815226,0.29046140899386524,0.3488700941692325,0.0,0.46847297047959535,0.019242161903966944,0.2220687515786345,0.5958428063255112,0.13950026194210174,0.05642876510016091,0.094663513518666,0.0561464393269785,0.013657259906933387
BX640584.2,0.0,0.0,0.0,0.0,0.005935431904443884,0.6284804271533935,0.021928977388863482,0.0,0.4607724356180765,0.17426064616690162,0.2562263672481126,0.834815519252626,0.27502651626343383,0.10790063717953996,0.0,0.0,0.0
SI:CH1073-418F12.2,0.0,0.0,0.0,0.022490614405611894,0.0,0.5196395018379574,0.1356323152026124,0.0,0.4479703701731106,0.23036939836468806,0.23423718406316454,0.637841035778775,0.19205368096865674,0.3903088111365001,0.0,0.1624199293423264,0.0
SI:CH1073-159D7.7,0.3049159302809536,0.0,0.14637604865266182,0.11285402370295518,0.059957143287067124,0.40535665860513537,0.6700227813354694,0.11226101896388559,0.5611228036698256,0.07992627139081962,0.9955313761936023,0.1002155819739037,0.14083263899081896,0.28272253625324456,0.11477261787667604,0.04521790880636281,0.08958539459565218
DUT,0.0,0.0,0.1864791235934232,0.03954636683195747,0.07204596498481218,0.6738627681799344,0.6002353663962593,0.0008759350110895895,0.5039925037213275,0.15140778936909996,0.2945037809599669,0.4869686861141977,0.040173116967462306,0.2852825885813848,0.0,0.18627652213109977,0.0
ZNF981,0.0,0.0,0.0,0.10229649576476181,0.06396829442707258,0.48159597934139114,0.14135895058344344,0.0,0.6019646282323554,0.0,0.5708228850750617,0.5611079681812862,0.11599187328891444,0.0,0.0,0.10772185500256361,0.0
SI:CH211-113A14.16,0.1546697688496156,0.0,0.0,0.09333497758681429,0.0017735497578183167,0.38005079220706994,0.7703040877471795,0.045195763056833996,0.721101795937143,0.0887305237371176,0.6495139289355609,0.35560002784475303,0.1610360077499655,0.12064210889033636,0.02240965949630819,0.055538569820243786,0.0
SI:DKEY-6D5.4,0.0,0.0,0.3199164828248904,0.5035406397015013,0.0,0.5537152415707792,0.20927049133602552,0.0,0.6187285510626542,0.21913269955377424,0.3765596585886284,0.655690170606167,0.06752042382238896,0.024857539720850516,0.0,0.08210060542008117,0.0
SI:DKEY-23A13.15,0.003544072163334467,0.1649005093485764,0.0,0.09748954376627238,0.175776488115843,0.6632133037434624,0.5700207128680786,0.0031796460005853603,0.2916532316797222,0.23832073620601096,1.1496954934581758,0.2641302567110517,0.11835117518384304,0.0,0.0,0.11622334022276368,0.0
ADGRE10,0.0,0.0,0.12836075746325645,0.01750847161085803,0.025154669083872122,0.40122233254336953,0.23056770261021753,0.05425551853944166,0.4553328310236377,0.12668807003476482,0.35822432164072954,0.68400840840704,0.6704868216556438,0.35383657291812115,0.0,0.1173525964799076,0.0
CU655961.2,0.06228175467379077,0.0,0.0,0.08289969108008867,0.06402646902003908,0.38673828230383206,0.3780282606715479,0.0,0.49316659040457655,0.0,0.21526379470569112,0.36578698586707875,0.5250798740066203,0.0,0.0,0.379770692298936,0.0
SI:CH211-190K17.31,0.0,0.0,0.06439771380376853,0.09577875624286858,0.0,0.5618628301490797,0.17344070508724344,0.02693397180490234,0.28415206977692153,0.19157947341383277,0.3430301289580704,0.8916089947392856,0.29645350693265177,0.15107624673922654,0.0,0.18091185268659843,0.0
SI:DKEYP-3B12.8,0.0,0.0,0.0359699108427419,0.059525889058376545,0.0,0.4955849735481433,0.3723267987640395,0.0,0.3827012328139822,0.07181752943463456,0.46411104199092224,0.1876436523431401,0.20464877659853614,0.0,0.0,0.038083974209901846,0.0
FAM78BB,0.0,0.0,0.04282795229703031,0.10811053462628208,0.0,0.47684923192264306,0.37980775583663545,0.0,0.4353174778565319,0.16855926458978762,0.20311032429266715,0.8119630716687394,0.32500196606059056,0.14153693180180527,0.0,0.0,0.0
CABZ01111915.1,0.0,0.0,0.0,0.07178545365271757,0.0,0.1436551247441804,0.21502576723240507,0.0,0.6516617168618457,0.12349109444142979,0.17589936803547976,0.6879272158457118,0.23902838708898527,0.22401135704473582,0.0,0.21214944694305002,0.0
WDR21,0.0,0.0,0.012464154387875214,0.0,0.1883815997971616,0.5082319894748485,0.0,0.013122870365452882,0.4615241061131467,0.15840039450122445,0.5269703729896036,0.6418189752612682,0.2773060158461812,0.1057518567127949,0.0,0.12768228572621765,0.0
SI:DKEY-95P16.2,0.06388478562158947,0.0,0.01412786384324994,0.17640688603004406,0.0,0.35457597236198685,0.46532828312203905,0.08252288400034817,0.8217115385201966,0.10520316110700399,0.2174953484843394,0.7252630321068697,0.0815164948845497,0.0,0.018747844754604826,0.08794766175036559,0.0
